End_year,Name,Release_season,Release_year,Tags
,Godannar 2nd Season,Spring,2004,"Action, Ecchi, Mecha, Romance, Sci Fi, Aliens, Post-apocalyptic, Original Work"
2019,Bakutsuri Bar Hunter,Fall ,2018,"Shounen, Proxy Battles"
,Mitchie M: Suki! Yuki! Maji Magic,,2014,Vocaloid
,Manbo-P: Aruki Smartphone no Michi wa Rome ni Tsuuzu,,2020,Vocaloid
2021,Golden Douga Gekijou Specials,,2018,Comedy
,Atom: The Beginning,Spring,2017,"Sci Fi, Seinen, Non-Human Protagonists, Robots, Based on a Manga"
,Treasure Hunting,,2011,"Animal Protagonists, Anthropomorphic, Family Friendly, Ghibli Museum Shorts, Non-Human Protagonists, Rabbits, Shorts"
,Stitch & Ai,,2017,"Fantasy, Chinese Animation, Disney, Family Friendly, Based on a Cartoon"
,Ling Yu 6th Season,,2018,"Fantasy, Chinese Animation, Cultivation, Based on a Web Novel"
1970,Kaitei Shounen Marine,,1969,"Adventure, Sci Fi, Ocean, Original Work"
2007,Magical Witch Punie-chan,,2006,"Comedy, Fantasy, Magical Girl, Shounen, Contemporary Fantasy, Dark Comedy, Gag, Henshin Heroes, Magic, Panty Shots, Parody, Royalty, School Life, Slapstick, Transfer Students, Urban Fantasy, Based on a Manga, Violence"
1987,Bugtte Honey,,1986,"Adventure, Comedy, Based on a Video Game"
,Gakuen Heaven,Spring,2006,"BL, Comedy, Harem, Romance, Shounen-ai, All-Boys School, Childhood Promise, School Life, Transfer Students, Based on a Visual Novel"
,Yorushika: Shisouhan,,2020,Psychological
,Time: Toki no Shiori,,2002,Minna no Uta
,Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuuanzen,,2016,"Shounen, Sports, Chibi, Cycling, Educational, Short Episodes, Based on a Manga"
,Strawberry Eggs,Summer,2001,"Comedy, Romance, Crossdressing, School Life, Original Work"
,Overlord: Ple Ple Pleiades - Clementine Toubou-hen,Fall ,2018,"Comedy, Fantasy, Chibi, Short Episodes, Skeletons"
1998,Macross Dynamite 7,,1997,"Adventure, Mecha, Sci Fi, Aliens, Idols, Music, Outer Space, Rock Music, Transforming Mecha, Original Work, Nudity"
,Attack No. 1: Namida no Fushichou,,1971,"Sports, Volleyball, Based on a Manga"
,Accel World Movie: Infinite Burst,,2016,"Action, Sci Fi, Virtual Reality, Based on a Light Novel"
1994,Fortune Quest OVA,,1993,"Adventure, Fantasy, Magic, Medieval, RPG"
2000,Knights Hunter OVA,,1999,"Action, Drama, Assassins, Revenge"
,Ray: Nagi,,2012,Original Work
,The Vision of Escaflowne Recaps,,2012,Recap
,Harumaki Gohan: Dreamless Dreams,,2017,Vocaloid
,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",,2009,"Romance, Library, School Life, Based on a Light Novel"
,Steel Angel Kurumi Encore,,2000,"Comedy, Harem, Romance, Sci Fi, Slice of Life, Androids, Interspecies Relationship, Non-Human Protagonists, Robots, Original Work"
,"NAKAIMO: My Little Sister Is Among Them! Brother, Sister, Lover",,2013,"Comedy, Ecchi, Harem, Based on a Light Novel, Nudity"
1995,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,,1994,"Horror, Short Episodes"
,Rakka-sei,,2021,Shorts
,Natsuiro Kiseki,Spring,2012,"Drama, Fantasy, Slice of Life, Animeism, Countryside, Magic, Original Work"
,Jewelpet Magical Change,Spring,2015,"Fantasy, Magical Girl, Animal Protagonists, Family Friendly, Henshin Heroes, Magic, Non-Human Protagonists, Sanrio Characters"
,Hong Ling Jin Xia THE RED,,2010,"Action, Chinese Animation, School Life, Shorts"
,Dramatic Memory Honoo no Alpenrose,,1986,"Drama, Romance, Shoujo, Historical, Based on a Manga"
,Nani Iro no Nani,,2018,"Drama, Romance, Slice of Life"
,Fate/Grand Order x Thunderbolt Fantasy 3,,2021,"Action, Fantasy, Crossover, Shorts, Swordplay"
2015,Lu Shidai 2nd Season,,2014,"Action, Chinese Animation, Parody, Based on a Video Game"
,Bludgeoning Angel Dokuro-chan,,2005,"Comedy, Ecchi, Fantasy, Angels, Contemporary Fantasy, Dark Comedy, Gag, Non-Human Protagonists, Slapstick, Urban Fantasy, Based on a Light Novel, Explicit Violence"
2007,Mobile Suit Gundam Evolve,,2001,"Action, Mecha, Sci Fi, Collections"
2005,Beet the Vandel Buster,Fall ,2004,"Action, Adventure, Fantasy, Shounen, Magic, Monsters, Superpowers, Based on a Manga"
,Texhnolyze: Revisit,,2004,"Sci Fi, Cyberpunk, Dystopia, Noir, Psychological, Recap, Original Work"
,Touch Movie 1: Sebangou no Nai Ace,,1986,"Drama, Romance, Shounen, Sports, Baseball, Childhood Friends, Love Triangle, Neighbors, Recap, School Life, Based on a Manga"
2013,Ohayou Ninja-tai Gatchaman ZIP!,,2011,"Comedy, Parody, Short Episodes, Superheroes, Flash Animation"
1980,Hana no Ko Lunlun,,1979,"Fantasy, Magical Girl, Europe, Family Friendly, France, Henshin Heroes, Magic, Original Work"
,n-buna: Umiyuri Kaiteitan,,2014,Vocaloid
,t7s Longing for summer Again And Again: Harukaze,,2017,Based on a Mobile Game
2020,Case File nº221: Kabukicho,Fall ,2019,"Comedy, Mystery, Detectives, Sherlock Holmes, Based on a Novel"
,Super Dimensional Fortress Macross: Flash Back 2012,,1987,"Mecha, Romance, Sci Fi, Aliens, Idols, Music, Original Work"
,"Penelope Tete en l'air (2013)",,2013,"Slice of Life, Animal Protagonists, Family Friendly, Koalas, Non-Human Protagonists, Short Episodes"
,Taekwon Dongja Maruchi Arachi,,1977,"Action, Hand to Hand Combat, Korean Animation, Martial Arts"
,Watanuki-san Chi no,Spring,2019,"Slice of Life, VTubers, CG Animation, Original Work"
,Hoshizora no Violin,,1994,"Drama, Historical, Music"
,Hello Kitty no Suteki na Kyoudai,,1993,"Fantasy, Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Non-Human Protagonists, Sanrio Characters"
2006,The Snow Queen,Spring,2005,"Adventure, Fantasy, Based on a Fairy Tale"
,No-Rin,Winter,2014,"Comedy, Romance, Agriculture, Lifestyle Change, Love Triangle, School Life, Based on a Light Novel"
,PriPara & Kiratto Pri-Chan: Kira Kira Memorial Live,,2018,"Crossover, Family Friendly, Idols, Music, Showbiz"
,Ensemble Stars!,Summer,2019,"Comedy, Reverse Harem, Idols, Newly Co-ed School, School Life, Transfer Students, Based on a Mobile Game"
,"Chiisana Tayori, Ookina Tayori.",,2017,"Cats, Promotional, Shorts"
,Burnout Syndromes: Bungaku Shoujo,,2015,Black and White
,Katsugeki! Touken Ranbu,Summer,2017,"Action, Fantasy, 19th Century, Anthropomorphic, Historical, Based on a Video Game"
,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,,2011,"Adventure, Comedy, Crude"
,Enoshimans,,2017,"Animal Protagonists, Non-Human Protagonists, Ocean, Short Episodes, Original Work"
,Oshizuka ni,,1980,"Family Friendly, Shorts"
,SONODA,,1988,Shorts
,LB Commerce CM,,2021,"Slice of Life, Commercials, No Dialogue, Promotional"
2020,Symphogear XV Specials,,2019,"Comedy, Slice of Life, Chibi"
,Mars,,1994,"Action, Mecha, Sci Fi, Based on a Manga"
,Harumaki Gohan: Melty Land Nightmare,,2018,Vocaloid
,With All Our Hearts,,2021,"Art, No Dialogue, Promotional, Shorts"
,Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken,,1997,"Mystery, Shounen, Detectives, Based on a Manga"
,Mafumafu: Yume Hanabi,,2013,Vocaloid
,Maze Bakunetsu Jikuu: Tenpen Kyoui no Giant,,1998,
,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,,2016,"Fantasy, Magical Girl, Chinese Animation, Henshin Heroes"
2021,Tomica Kizuna Gattai: Earth Granner,Spring,2020,"Action, Mecha, Sci Fi, Shounen, Aliens, Cars, Family Friendly"
2012,Cosmic Break,,2010,"Drama, Mecha, Based on a Video Game"
,Tomoyo Harada: Kotobadori,,2019,Abstract
,Dropkick on My Devil! (Web),Fall ,2018,"Action, Comedy, Fantasy, Seinen, Slice of Life, Angels, Breaking the Fourth Wall, Contemporary Fantasy, Dark Comedy, Demons, Gag, Monster Girls, Non-Human Protagonists, Slapstick, Based on a Manga, Violence"
,Roselia: Black Shout,,2017,
,Generator Gawl,Fall ,1998,"Action, Sci Fi, Superpowers, Time Travel, Original Work"
,EGOIST: PLANETES,,2012,
,"Why the Hell are You Here, Teacher!?",Spring,2019,"Comedy, Ecchi, Romance, Slice of Life, Childhood Friends, Delinquents, School Life, Short Episodes, Student-Teacher Relationship, Based on a Manga, Nudity"
,"Doraemon Movie 19: Nobita's South Sea Adventure",,1998,"Adventure, Shounen, Cats, Family Friendly, Non-Human Protagonists, Pirates, Robots, Based on a Manga"
,Robot Taekwon V wa Hwanggeum Nalgae,,1978,"Action, Mecha, Sci Fi, Korean Animation"
,Dennou Senshi Dokan-kun,Winter,2007,"Comedy, Short Episodes, Flash Animation, Original Work"
,Kara no Tamago,,2012,"Abstract, Shorts"
1984,The Kabocha Wine,,1982,"Comedy, Romance, Shounen, School Life, Based on a Manga"
,The Legend of Black Heaven,Summer,1999,"Sci Fi, Aliens, Music, Rock Music, Original Work"
,Nura: Rise of the Youkai Clan - Jump Super Anime Tour Special,,2010,"Sports, Chibi, Soccer"
,Starship Troopers: Traitor of Mars,,2017,"Action, Sci Fi, Aliens, Insects, Military, War, Based on a Novel, CG Animation, Explicit Violence"
,Eromanga Sensei,Spring,2017,"Comedy, Ecchi, Romance, Novel Industry, Siblings, Based on a Light Novel"
,Cyborg 009: Call of Justice - Movie 1,,2016,"Action, Sci Fi, Cyborgs, Based on a Manga, CG Animation"
,Sinbad: The Magic Lamp and the Moving Islands,,2016,"Adventure, Island, Middle Eastern"
,Rilakkuma: Honey & Smile,,2015,"Animal Protagonists, Bears, No Dialogue, Non-Human Protagonists, Promotional, San-X Characters, Shorts"
,Blade of the Immortal,Summer,2008,"Action, Seinen, Feudal Japan, Swordplay, Based on a Manga, Violence"
1989,"What's Michael?",,1988,"Comedy, Seinen, Slice of Life, Animal Protagonists, Cats, Non-Human Protagonists, Pets, Based on a Manga"
1996,Susume! Godzilland,,1994,"Comedy, Chibi, Educational, Family Friendly, Kaijuu, Monsters, Parody, Tokusatsu"
,UFO Senshi Dai Apolon,,1976,"Action, Adventure, Mecha, Sci Fi, Based on a Manga"
,Rilakkuma: Rilakkuma Bakery,,2017,"Animal Protagonists, Bears, No Dialogue, Non-Human Protagonists, Promotional, San-X Characters, Shorts"
1994,Ghost Sweeper Mikami,,1993,"Comedy, Ghost Hunters, Monster-of-the-week, Supernatural, Based on a Manga"
,Mikito-P: Ii Aru Fanclub,,2012,Vocaloid
,My Wife Is the Student Council President! OVA,,2016,"Comedy, Ecchi, Romance, Shounen, School Life, Shorts, Student Council, Sudden Girlfriend Appearance, Based on a Manga, Nudity,, Sexual Content"
,Maeda Jun x Yanagi Nagi: Killer Song,,2011,"Drama, Desert"
,Yorushika: Nautilus,,2019,"Drama, Death of a Loved One, Music, CG Animation, Mature Themes,, Suicide"
,"Seiyuu's Life!",Summer,2015,"Comedy, Showbiz, Voice Acting, Work Life, Based on a Manga"
,Yozakura Quartet,Fall ,2008,"Action, Shounen, Supernatural, Superpowers, Based on a Manga"
,Strada with Blu-ray,,2017,"Drama, Romance, Commercials, Promotional, Short Episodes"
1978,Gekisou! Rubenkaiser,,1977,"Action, Sports, Cars, Racing, Original Work"
2019,Cara to Otamajakushi Shima,,2018,"Comedy, Short Episodes"
,To Your Eternity Recap,,2021,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Recap, Supernatural, Survival, Based on a Manga"
1997,Seishun Anime Zenshuu Specials,,1987,"Episodic, Based on a Novel"
,sola Specials,,2007,"Drama, Mystery, Romance, Seinen, Based on a Manga"
2016,The Heroic Legend of Arslan Specials,,2015,"Comedy, Shounen, Royalty, Based on a Manga"
,Pokemon Movie 14: Black - Victini and Reshiram,,2011,"Fantasy, Elemental Powers, Family Friendly, Monsters, Based on a Video Game"
2015,One Piece: Cry Heart,,2014,"Promotional, Short Episodes, Stop Motion Animation"
,Hataraki Man,Fall ,2006,"Drama, Seinen, Slice of Life, Coworkers, Journalism, noitaminA, Work Life, Based on a Manga"
1992,Minky Momo: Yume wo Dakishimete,,1991,"Fantasy, Magical Girl, Age Transformation, Contemporary Fantasy, Henshin Heroes, Magic, Original Work"
,A Town Where You Live,Summer,2013,"Drama, Romance, Shounen, Lifestyle Change, Love Triangle, Based on a Manga"
,True Cooking Master Boy 2nd Season,Winter,2021,"Shounen, 19th Century, Cooking, Food and Beverage, Based on a Manga"
,Dance with Devils,Fall ,2015,"Drama, Reverse Harem, Romance, Demons, Supernatural, Vampires, Original Work, Violence"
,Handsome Kenya: Kurou Shiro,,2015,"Black and White, Dancing, Music"
,Ro-Kyu-Bu! SS Extra,,2013,Recap
,BIGMAMA: The Naked King: Utsukushiki Waga Jinsei wo,,2021,"Drama, Fantasy, Demons, Non-Human Protagonists, Violence"
,Naruto: Hidden Leaf Village Grand Sports Festival!,,2004,"Comedy, Shounen, Sports, Crude, Ninja, Based on a Manga"
,Pokemon Movie 17: Diancie and the Cocoon of Destruction,,2014,"Adventure, Fantasy, Shounen, Elemental Powers, Family Friendly, Monsters, Based on a Video Game"
,Kaitou Lupin: 813 no Nazo,,1979,"Mystery, Criminals, Thieves, Based on a Novel"
,Supercell: Kimi no Shiranai Monogatari,,2018,
,Pokemon Movie 9: Pokemon Ranger and the Temple of the Sea,,2006,"Adventure, Fantasy, Shounen, Elemental Powers, Family Friendly, Monsters, Based on a Video Game"
,Pikaia!,Spring,2015,"Sci Fi, Educational, Family Friendly, Original Work"
,Ru Guo Wo Shi Ying Xiong,,2016,Chinese Animation
,The Big Fighting Between Wukong and God Erlang,,2007,"Action, Adventure, Animal Protagonists, Anthropomorphic, Chinese Animation, Journey to the West, Non-Human Protagonists, Stop Motion Animation, Based on a Novel, CG Animation"
2012,Tobidase! Dokan-kun,Fall ,2011,"Comedy, Flash Animation, Original Work"
,Fossil Thief and Dinosaur Stones,,2011,"Adventure, Fantasy, Sci Fi, Dinosaurs, Shorts, Original Work"
,The Larva Island Movie,,2020,"Adventure, Comedy, Animal Protagonists, Korean Animation, Non-Human Protagonists, CG Animation"
,Mafumafu: Katakoi,,2021,"Romance, School Life"
1980,Manga Sarutobi Sasuke,,1979,"Comedy, Ninja, Original Work"
,Hello Kitty no Tomatta Big Ben,,1992,"Fantasy, Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Non-Human Protagonists, Sanrio Characters"
,Kinnikuman Movie 3: Seigi Choujin vs. Kodai Choujin,,1985,"Action, Comedy, Sci Fi, Shounen, Hand to Hand Combat, Superheroes, Superpowers, Wrestling"
,House Hunting,,2006,"Adventure, Fantasy, Ghibli Museum Shorts, Shorts"
,KADO: Beyond Information,Spring,2018,"Sci Fi, Recap, Original Work"
,Flower Witch Mary Bell: The Phoenix Key,,1992,"Magical Girl, Henshin Heroes, Magic, Original Work"
1996,Bonobono,,1995,"Comedy, Animal Protagonists, Forest, Non-Human Protagonists, Based on a 4-Koma Manga, Based on a Manga"
,Space Battleship Tiramisu Zwei Specials,,2019,"Comedy, Mecha, Sci Fi, Parody, Based on a Manga"
,"Kamen no Maid Guy: This Summer, Plenty of Breasts",,2008,"Comedy, Ecchi, Shounen, Island, Based on a Manga, Nudity"
,Swan Lake,,1981,"Fantasy, Romance, Animal Transformation, Curse, Family Friendly, Royalty"
,Shake,,2011,"Shorts, Original Work"
,Hunter,,2017,"Abstract, No Dialogue, Shorts"
,Aimer: Yuki no Furu Machi,,2012,Stop Motion Animation
,MTV TOP 20: MTV Town ID,,2019,"Abstract, No Dialogue, Promotional, Station Identifications"
,Kougyou Aika Volley Boys,,1997,"Comedy, Sports, Crude, School Club, Volleyball, Based on a Manga"
,Kotowaza Gundam-san,,2015,"Comedy, Mecha, Sci Fi, Chibi, Parody"
2012,Yakimochi Caprice,,2011,"Animal Characteristics, Animal Protagonists, Cats, Dogs, Non-Human Protagonists, Short Episodes, Original Work"
1985,Miimu Iro Iro Yume no Tabi,,1983,"Adventure, Sci Fi, Educational, Family Friendly"
,Zutomayo: Ham,,2020,
,Mazinger Z/Infinity,,2018,"Action, Mecha, Sci Fi, Super Robot, Based on a Manga"
2018,Wo de Tian Jie Nuyou,,2017,"Action, Ecchi, Fantasy, Romance, Chinese Animation, Contemporary Fantasy, Cultivation, Urban Fantasy, Based on a Manga, Violence"
2002,Go! Go! Itsutsugo Land,Spring,2001,Comedy
,Puso Ni Comi: Phantasy Star Online 2 Comic,,2019,"Comedy, Chibi, Short Episodes, Based on a Manga, Flash Animation"
,"Let's dance with Papa",Summer,1999,"Comedy, Slice of Life, Short Episodes"
,Smile & Go!!,,2021,VTubers
,Meoteoldosa,,1989,"Action, Hand to Hand Combat, Korean Animation, Martial Arts, Superpowers"
1970,Monoshiri Daigaku Ashita no Calendar,,1966,"Family Friendly, Short Episodes"
,Happy Lesson Advance,Summer,2003,"Comedy, Harem, Romance, Seinen, Based on a Manga"
,Yugo the Negotiator,Winter,2004,"Action, Drama, Seinen, Espionage, Political, Russia, Terrorism, Thriller, Work Life, Based on a Manga"
,Kurage-P: Check Check Check One Two!,,2016,Vocaloid
,Sore Ike! Anpanman: Inochi no Hoshi no Dolly,,2006,"Fantasy, Anthropomorphic, Family Friendly, Food Protagonists, Non-Human Protagonists"
2004,House Foods: Ouchi de Tabeyou,,2003,"Commercials, Short Episodes"
2017,CoCO & NiCO,Spring,2016,"Comedy, Fantasy, Animal Protagonists, Cats, Family Friendly, Non-Human Protagonists, Short Episodes, Original Work"
,Phantom: The Animation,,2004,"Action, Amnesia, Assassins, Gangs, Kidnapping, Based on a Visual Novel"
,Twenty One Pilots: Saturday,,2021,
,Invaders of the Rokujyoma!? PV,,2010,"Comedy, Boarding House, Neighbors, Promotional, Supernatural, Based on a Light Novel"
,ONE OK ROCK: I Was King,,2016,
,Lolling Seutajeu,,2009,"Sports, Baseball, Family Friendly, Korean Animation"
,Saint Elmo: Hikari no Raihousha,,1986,Sci Fi
,Venture Pilot,,2020,"Comedy, Shorts, Work Life, Original Work"
,Dr. Slump: Arale-chan no Koutsuu Anzen,,1983,"Educational, Family Friendly"
,Pororo to the Cookie Castle,,2004,"Adventure, Animal Protagonists, Anthropomorphic, Birds, Korean Animation, Non-Human Protagonists, Penguins"
,Eden,Spring,2021,"Action, Adventure, Sci Fi, Non-Human Protagonists, Orphans, Post-apocalyptic, Robots, CG Animation, Original Work"
,Kurokami: Intermission,,2009,"Action, Fantasy, Seinen, Martial Arts, Recap, Superpowers, Based on a Manga"
,Astro Boy: Volume of the Blue Knight,,1999,"Action, Sci Fi, Shounen, Androids, Non-Human Protagonists, Robots, Based on a Manga"
1995,The Hakkenden: Shin Shou,,1993,"Action, Feudal Japan, Historical, Based on a Novel, Violence"
,My Bride is a Mermaid Picture Drama,,2010,Picture Drama
,Kimi no Kokoro wa Kagayaiteru Kai?,,2015,"Idols, Music"
,DearS: Is It a Golden Ball?,,2005,"Comedy, Ecchi, Sci Fi, Shounen, Aliens, Non-Human Protagonists, Based on a Manga"
1985,Video Senshi Laserion,,1984,"Action, Adventure, Mecha, Sci Fi, Virtual Reality, Original Work"
,Kasumin,Fall ,2001,"Comedy, Fantasy, Family Friendly, Mansion, Original Work"
,Crayon Shin-chan Movie 6: Dengeki! Buta no Hizume Daisakusen,,1998,"Comedy, Crude"
,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseruka!!,,1980,"Sci Fi, Leijiverse, Trains, Based on a Manga"
,Echo: Kodama Suru Uta,,2018,"Family Friendly, Minna no Uta"
,Fate/Kaleid Liner Prisma Illya Movie 2: Licht Nameless Girl Mini Anime,,2021,"Comedy, Chibi, Short Episodes, Based on a Manga"
2010,My-Hime Specials,,2005,"Ecchi, Romance, Panty Shots, Original Work"
,Nisou no Kuzu,,2004,"Abstract, Shorts"
,No Game No Life: Zero - Manner Movie,,2017,"Comedy, Chibi, Shorts"
,FLUFFFICTION,,2018,Shorts
2014,Infinity Nado 2,,2013,"Chinese Animation, Proxy Battles, Tournaments"
2009,Giga Tribe,,2008,"Korean Animation, Superpowers"
,Boo Boo Boy,Summer,2015,"Cars, Family Friendly, Short Episodes"
,May,,2013,"Slice of Life, Restaurants, Shorts"
,Chain Chronicle: The Light of Haecceitas,Winter,2017,"Action, Adventure, Fantasy, Magic, RPG, Based on a Mobile Game"
,R-15 OVA,,2011,"Comedy, Ecchi, Harem, Island, Based on a Light Novel, Nudity,, Sexual Content"
,UFO Ultramaiden Valkyrie Special: Bridal Training,,2003,"Comedy, Ecchi, Shounen, Aliens, Non-Human Protagonists, Based on a Manga"
,Nouryoku Hikitsugi de Otome Game no Sekai ni Tensei Shita Ken ni Tsuite www,,2020,
,The Prince of Tennis: The Band of Princes Film Kick the Future,,2003,
,Tamagotchi Honto no Hanashi,,1997,"Fantasy, Family Friendly"
,Fancy Lala,Spring,1998,"Fantasy, Magical Girl, Henshin Heroes, Idols, Magic, Original Work"
,"Chrono Crusade: Azmaria's Extra Lessons",,2005,"Comedy, Shounen, America, Religion, Based on a Manga"
,Ninja Nonsense,Summer,2004,"Comedy, Shounen, Gag, Ninja, Parody, Based on a Manga"
,Happiness Charge Pretty Cure! Movie: Ningyou no Kuni no Ballerina,,2014,"Magical Girl, Henshin Heroes, Magic"
2005,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,,2003,"Fantasy, Reverse Harem, Person in a Strange World"
,My First Girlfriend is a Gal: My First Cultural Fair,,2017,"Comedy, Ecchi, Romance, Gyaru, Romantic Comedy, School Life, Based on a Manga"
,Zhu Zhu Xia: Bian Shen Zhandu,,2014,"Animal Protagonists, Anthropomorphic, Chinese Animation, Family Friendly, Non-Human Protagonists, Pigs, CG Animation"
,Endro~!,Winter,2019,"Fantasy, Slice of Life, Magic, RPG, Original Work"
,A Certain Scientific Railgun S: All the Important Things I Learned in a Bathhouse,,2014,"Comedy, Sci Fi, Slice of Life, Supernatural, Superpowers, Based on a Light Novel"
,Yatterman: Shin Yattermecha Osu gou! Omocha no Kuni de Dai Ketsudan da Koron!,,2009,Superheroes
,Rilakkuma: Bonjour Rilakkuma,,2015,"Animal Protagonists, Bears, Europe, France, No Dialogue, Non-Human Protagonists, Promotional, San-X Characters, Shorts"
,Dororo (2019) PV,,2018,"Action, Shounen, Promotional, Based on a Manga"
,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches PV,Spring,2020,"Sci Fi, Military, Music"
1992,Tanoshii Moomin Ikka: Bouken Nikki,,1991,"Adventure, Animal Protagonists, Family Friendly, Non-Human Protagonists"
2005,Grenadier,Fall ,2004,"Action, Adventure, Ecchi, Shounen, Episodic, Guns, Western, Based on a Manga"
,Kimagure Orange Road: Shounen Jump Special,,1985,"Comedy, Romance, Shounen, Love Triangle, Supernatural, Based on a Manga"
1993,K.O. Beast,,1992,"Comedy, Fantasy"
2012,Little Charo 2,,2010,"Slice of Life, Animal Protagonists, Dogs, Family Friendly, Non-Human Protagonists, Short Episodes"
,Zhu Zhu Xia: Xingfu Jiuyuan Dui,,2012,"Animal Protagonists, Anthropomorphic, Chinese Animation, Family Friendly, Non-Human Protagonists, Pigs, CG Animation"
,Kinnikuman Movie,,1984,"Action, Comedy, Shounen, Hand to Hand Combat, Martial Arts, Superheroes, Wrestling"
,Sugar Bunnies Fleur,,2009,"Fantasy, Family Friendly, Sanrio Characters"
2012,Beyblade: Metal Fury,Spring,2011,"Action, Adventure, Sci Fi, Shounen, Family Friendly, Monsters, Proxy Battles, Based on a Manga"
1979,StarZinger,,1978,"Adventure, Sci Fi, Journey to the West, Original Work"
,Ninjala: Ninja-Gum is Born,,2020,"Action, Fantasy, Sci Fi, Ninja, Promotional, Superpowers, Based on a Video Game"
,Wan Wan Serepuu Soreyuke! Tetsunoshin,Winter,2006,"Comedy, Dogs, Family Friendly, Original Work"
,Licca-chan Fushigi na Fushigi na Yunia Monogatari,,1990,Original Work
2011,Mini Sengoku Basara Two: Tsukiyo no Katakura-kun,,2010,"Comedy, Chibi, Gag"
2004,PopoloCrois,Fall ,2003,"Adventure, Fantasy, Based on a Video Game"
,Konjiki no Gash Bell!! Hashire Gash!! Ubawareta Umagon,,2006,"Shounen, Demons, Magic, Non-Human Protagonists, Superpowers, Based on a Manga"
,Licca-chan Fushigi na Mahou no Ring,,1991,"Magical Girl, Amusement Park, Henshin Heroes, Magic, Original Work"
,Gaikan Chiba,,2018,"Drama, Promotional"
,Start,,2019,"Slice of Life, Promotional, Shorts"
,Kasumin 3rd Season,Spring,2003,"Comedy, Fantasy, Family Friendly, Original Work"
,Dimension W: Do Robots Dream of Bathhouses,,2016,"Sci Fi, Seinen, Based on a Manga"
1998,Fortune Quest L,Fall ,1997,"Adventure, Fantasy, Magic, Medieval, RPG"
,Space Symphony Maetel: Ginga Tetsudou 999 Gaiden,Summer,2004,"Sci Fi, Cyborgs, Leijiverse"
,Kero Kero Keroppi no Robin Hood,,1994,"Adventure, Animal Protagonists, Anthropomorphic, Family Friendly, Frogs, Medieval, Non-Human Protagonists, Sanrio Characters"
,Larva: New York,,2014,"Comedy, America, Family Friendly, Insects, Korean Animation, Short Episodes, CG Animation"
,Infinite Dendrogram,Winter,2020,"Action, Adventure, Fantasy, Sci Fi, MMORPG, Monsters, RPG, Virtual Reality, Based on a Light Novel, Violence"
,Moshidora,Spring,2011,"Drama, Sports, Baseball, School Club, School Life, Based on a Light Novel"
,Yumemi Douji,,1958,"Drama, Shorts, Original Work"
,Bokutachi no Kizuki,,2019,"Romance, Slice of Life, Commercials, Promotional, Shorts"
,Maku,,2014,Shorts
,Hige Hige Gehi Ponpon,,2015,"Family Friendly, Minna no Uta"
,The devil between my fingers,,2009,"Abstract, No Dialogue, Shorts"
,Keina Suda: Alba,,2020,
,Fate/Grand Order: Cosmos in the Lostbelt - Lostbelt No. 3 Event PV,,2018,"Action, Fantasy, Sci Fi, Magic, Promotional"
2013,Code:Breaker OVA,,2012,"Action, Comedy, Shounen, Slice of Life, Supernatural, Superpowers, Based on a Manga"
,Mobile Suit Gundam Unicorn Perfectibility,,2018,"Action, Mecha, Sci Fi, Shorts"
,Curry no Kuni no Coburoux,,2004,"Comedy, Family Friendly, Short Episodes"
,Sobakasu Pucchi,,1969,"Adventure, Family Friendly, Short Episodes"
1987,Hulu Xiongdi,,1986,"Action, Chinese Animation, Family Friendly, Short Episodes, Superpowers"
,QUARTET NIGHT: Force Live,,2017,"Dancing, Idols, CG Animation"
,Dino Girl Gauko 2nd Season,Winter,2020,"Comedy, Sci Fi, Aliens, Animal Protagonists, Animal Transformation, Dinosaurs, Family Friendly, Non-Human Protagonists, Short Episodes, Superpowers, Original Work"
,The Hakkenden Digest,,1993,"Action, Feudal Japan, Historical, Recap, Based on a Novel"
,Granblue Fantasy The Animation Season 2: Another Journey,,2020,"Action, Adventure, Fantasy, Island, Magic, Based on a Mobile Game"
,Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,,2006,"Comedy, Crude"
2018,GJ8 Man: Soushuuhen,,2017,"Comedy, Recap, Superheroes, Superpowers"
1990,Idol Densetsu Eriko,,1989,"Drama, Idols, Music, Showbiz, Original Work"
,For Whom The Alchemist Exists,,2019,"Action, Fantasy, Sci Fi, Based on a Video Game, Violence"
,A-Channel: Nabe wo Tabeyou,,2017,"Comedy, Seinen, Slice of Life, Cooking, Food and Beverage, Based on a Manga"
,Tweeny Witches: The Adventures,,2007,"Adventure, Fantasy, Episodic, Isekai, Magic, Person in a Strange World, Witches, Original Work"
,Tsuki ga Noboru made ni,,1991,"Coming of Age, Historical"
